Date_conducted,Pollster,Sample_size,FdI,PD,M5S,Lega,FI,Az,IV,AVS,+E,PTD,NM,ScN [ ay ],Lead
2026-02-12,Termometro Politico,2500.0,37.9,61.4,0.7,23.5,,,,,,,,,
2026-02-10,EMG,1000.0,38.0,62.0,,24.0,,,,,,,,,
2026-02-09,YouTrend,815.0,32.0,59.0,9.0,27.0,,,,,,,,,
2026-02-05,Termometro Politico,2900.0,39.2,60.4,0.4,21.2,,,,,,,,,
2026-01-29,Termometro Politico,2700.0,39.2,60.3,0.5,21.1,,,,,,,,,
2026-01-27,EMG,1000.0,39.0,61.0,,22.0,,,,,,,,,
2026-01-22,Termometro Politico,2600.0,38.0,61.6,0.4,23.6,,,,,,,,,
2026-01-20,YouTrend,804.0,33.0,62.0,5.0,29.0,,,,,,,,,
2026-01-15,Termometro Politico,2800.0,39.5,59.8,0.7,20.3,,,,,,,,,
2026-01-07,EMG,1000.0,40.0,60.0,,20.0,,,,,,,,,
