Year,Fieldwork date,Polling firm,Sample size,FdI,PD,M5S,Lega,FI,A,IV,AVS,+E,PTD,NM,ScN [ ay ],Others,Lead
2024,29 Feb,Demopolis,"2,000",28.0,20.8,17.0,7.6,7.0,3.5,,3.7,,,,,,
2024,27– 29 Feb,Termometro Politico,"4,300",28.7,19.6,16.2,9.2,6.7,3.7,2.8,3.1,2.5,,1.3,1.7,1.1,3.4
2024,27– 28 Feb,Eumetra,800,27.9,19.5,16.3,8.2,7.5,3.8,3.4,3.8,2.4,1.8,1.5,,0.9,3.0
2024,26– 27 Feb,Piepoli,510,28.5,19.5,16.0,8.5,7.5,4.5,4.0,4.0,2.5,,,,1.5,3.5
2024,21– 26 Feb,SWG,"1,200",27.7,20.0,15.6,8.1,7.1,4.4,3.3,4.2,2.6,1.7,1.4,1.2,,2.7
2024,22– 23 Feb,Tecnè,,28.3,19.9,16.1,8.2,9.4,3.9,3.1,3.9,2.4,,,,,4.8
2024,20– 22 Feb,Ipsos,"1,000",28.2,18.3,17.0,8.3,7.9,3.3,3.6,3.5,2.2,2.0,1.8,1.0,1.1,1.8
2024,21– 22 Feb,Eumetra,800,28.2,19.8,16.1,8.2,7.2,4.1,3.2,3.9,2.4,1.5,1.3,,0.8,3.3
2024,20– 22 Feb,Termometro Politico,"3,900",28.6,19.6,16.0,9.3,6.5,3.8,2.8,3.3,2.5,,1.4,1.8,1.1,3.3
2024,17– 22 Feb,Stack Data Strategy,944,27.1,19.9,15.5,8.7,6.6,3.3,4.9,3.7,4.2,1.7,1.4,,0.9,2.1
2024,14– 19 Feb,SWG,"1,200",28.2,20.1,15.3,8.0,7.1,4.2,3.3,4.3,2.4,1.5,1.4,1.3,,2.9
2024,13– 19 Feb,Ixè,"1,000",28.1,19.0,15.8,8.8,7.8,3.7,3.0,4.3,2.6,1.7,,,1.4,3.8
2024,15– 16 Feb,Tecnè,"1,000",28.4,20.0,16.0,8.2,9.2,3.8,3.0,3.9,2.4,,,,,5.1
2024,15 Feb,Proger Index,,28.5,19.7,16.5,8.2,7.1,4.3,3.3,4.0,2.5,1.4,,,1.4,3.1
2024,13– 15 Feb,Termometro Politico,"4,100",28.8,19.7,16.0,9.3,6.7,3.8,2.7,3.2,2.4,,1.4,1.8,1.1,3.1
2024,13– 14 Feb,Eumetra,800,28.0,19.6,16.3,8.3,7.1,4.1,3.1,3.7,2.6,1.6,1.3,,0.5,3.8
2024,12– 13 Feb,Tecnè,"1,000",28.4,19.8,16.2,8.2,9.1,3.9,3.0,3.8,2.4,,,,,5.2
2024,12 Feb,Piepoli,504,29.0,19.5,16.0,8.5,7.0,4.5,3.5,4.0,3.0,,,,1.5,3.5
2024,7– 12 Feb,SWG,"1,200",27.9,19.7,15.7,8.3,7.3,4.3,3.1,4.2,2.5,1.7,1.5,1.1,,2.7
2024,7– 8 Feb,Tecnè,997,28.5,19.8,16.2,8.4,9.2,3.7,2.9,3.7,2.4,,,,,5.2
2024,7– 8 Feb,Termometro Politico,"3,800",28.8,19.6,16.3,9.5,6.5,3.7,2.7,3.1,2.5,1.3,1.4,1.6,1.0,2.5
2024,5– 8 Feb,Demos & Pi,"1,001",28.2,19.6,16.9,8.3,7.0,4.0,2.9,3.5,2.5,,,,,7.1
2024,5 Feb,Piepoli,510,29.5,20.0,16.5,9.0,7.0,4.0,3.5,4.0,2.5,,,,1.5,2.5
2024,31 Jan – 5 Feb,SWG,"1,200",28.1,20.0,15.9,8.5,7.3,4.3,3.1,4.0,2.4,1.6,1.3,,,3.5
2024,1– 2 Feb,Tecnè,"1,004",28.7,19.7,16.4,8.3,9.3,3.6,3.0,3.6,2.3,,,,,5.1
2024,30– 31 Jan,Eumetra,800,28.5,19.7,16.8,8.5,7.4,4.3,3.1,3.6,2.5,1.4,1.2,,0.5,
2024,28– 29 Jan,Tecnè,998,28.8,19.6,16.5,8.4,9.3,3.5,3.0,3.6,2.3,,,,,5.0
2024,24– 29 Jan,SWG,"1,200",28.5,19.5,15.9,8.7,7.2,4.3,3.3,3.9,2.5,1.4,1.3,,,3.5
2024,23– 29 Jan,Ixè,"1,000",29.6,19.1,16.8,8.0,6.5,3.6,2.2,4.4,2.5,2.3,,,0.9,4.1
2024,24– 27 Jan,BiDiMedia,"1,000",28.6,19.3,16.1,9.0,6.6,4.2,3.1,3.8,2.5,1.2,1.3,1.3,1.0,2.0
2024,25– 26 Jan,Quorum,803,28.4,19.2,13.6,9.3,6.5,3.7,2.9,4.3,2.6,1.5,,,1.6,6.4
2024,25– 26 Jan,Tecnè,"1,000",28.8,19.5,16.4,8.4,9.4,3.6,3.0,3.5,2.2,,,,,5.2
2024,24– 25 Jan,Termometro Politico,"4,100",29.0,19.4,16.0,9.6,6.6,3.9,2.8,3.1,2.5,1.4,1.4,1.6,,2.7
2024,23– 24 Jan,EMG,"1,501",27.3,18.7,17.0,8.1,8.3,3.5,4.2,3.9,2.7,,1.1,,1.2,4.0
2024,23– 24 Jan,Eumetra,800,28.9,19.4,16.3,8.9,7.3,4.1,3.4,3.5,2.3,1.6,1.4,,0.7,2.2
2024,21– 22 Jan,Tecnè,801,29.0,19.5,16.3,8.4,9.3,3.7,2.9,3.5,2.5,,,,,4.9
2024,17– 22 Jan,SWG,"1,200",28.8,19.1,16.1,8.5,7.4,4.3,3.4,3.6,2.4,1.6,1.5,,1.0,2.3
2024,19 Jan,Piepoli,–,30.0,19.0,16.5,8.5,7.0,3.5,4.0,3.0,3.0,1.5,,,1.5,2.5
2024,18– 19 Jan,Tecnè,997,28.9,19.3,16.3,8.5,9.3,3.8,2.9,3.3,2.3,,,,,5.4
2024,17– 18 Jan,Termometro Politico,"4,200",29.1,19.3,16.3,9.6,6.5,3.8,2.8,3.1,2.6,1.3,1.4,1.5,,2.7
2024,16– 18 Jan,Ipsos,"1,000",29.0,19.7,16.2,8.7,7.0,3.3,3.0,4.2,2.1,1.7,1.4,1.3,1.1,1.3
2024,16– 17 Jan,Eumetra,800,28.9,19.2,16.5,9.2,7.2,4.1,3.5,3.3,2.4,1.6,1.3,,0.7,2.1
2024,15– 16 Jan,Tecnè,"1,000",28.8,19.4,16.1,8.5,9.4,3.8,3.0,3.5,2.3,,,,,5.2
2024,14– 15 Jan,Tecnè,800,28.9,19.3,16.2,8.5,9.4,3.8,3.0,3.4,2.4,,,,,5.1
2024,10– 15 Jan,SWG,"1,200",29.0,19.4,16.1,8.8,7.2,4.0,3.5,3.4,2.3,1.6,1.4,,1.0,2.0
2024,12 Jan,Piepoli,–,29.5,19.0,16.5,9.0,7.5,4.0,3.5,3.0,2.5,1.5,,,1.5,2.5
2024,11– 12 Jan,Tecnè,997,28.8,19.2,16.1,8.4,9.3,3.9,2.8,3.5,2.5,,,,,5.5
2024,10– 11 Jan,Termometro Politico,"3,800",29.5,19.4,16.0,9.5,6.3,3.9,2.7,3.0,2.5,1.7,1.5,1.5,,2.5
2024,8– 11 Jan,Lab2101,"1,000",28.9,19.7,16.3,10.1,6.0,3.9,3.1,4.2,2.5,2.0,,,0.7,2.6
2024,10 Jan,Proger Index,800,29.8,19.2,16.8,8.6,6.9,3.9,3.4,3.5,2.4,1.3,,,1.4,2.8
2024,9– 10 Jan,Eumetra,800,29.3,19.2,16.3,9.5,7.2,4.1,3.2,3.1,2.5,1.5,,,1.0,3.1
2024,9 Jan,Euromedia,"1,000",28.3,19.1,16.7,9.4,7.3,4.2,3.6,3.4,2.6,1.7,,,0.5,3.2
2024,7– 8 Jan,Tecnè,801,28.7,19.2,16.3,8.3,9.3,3.9,2.9,3.5,2.5,,,,,5.4
2024,3– 8 Jan,SWG,"1,200",29.2,19.1,16.4,9.1,7.3,4.0,3.5,3.2,2.4,1.4,1.2,,1.2,2.0
2024,30 Dec – 4 Jan,Lab2101,"1,000",29.2,19.6,16.2,10.3,5.9,3.9,3.0,4.3,2.6,1.9,,,0.7,2.4
2024,2 Jan,Tecnè,791,28.8,19.0,16.5,8.3,9.4,3.8,3.0,3.5,2.4,,,,,5.3
2026,14– 16 Jul,Termometro Politico,"2,700",37.5,62.0,0.5,24.5,,,,,,,,,,
2026,8– 9 Jul,Termometro Politico,"2,100",36.8,63.2,— N/a,26.4,,,,,,,,,,
2026,6– 7 Jul,EMG,"1,000",34.0,66.0,— N/a,32.0,,,,,,,,,,
2026,30 Jun – 2 Jul,Termometro Politico,"2,000",37.7,62.0,0.3,24.3,,,,,,,,,,
2026,30 Jun – 1 Jul,YouTrend,810,35.0,55.0,10.0,20.0,,,,,,,,,,
2026,24– 25 Jun,Termometro Politico,"2,500",38.5,61.5,— N/a,22.0,,,,,,,,,,
2026,18– 19 Jun,BiDiMedia,"1,000",35.0,63.0,2.0,28.0,,,,,,,,,,
2026,17– 18 Jun,Termometro Politico,"2,500",38.7,60.9,0.4,22.2,,,,,,,,,,
2026,03– 16 Jun,EMG,"1,000",37.0,63.0,— N/a,26.0,,,,,,,,,,
2026,16– 17 Jun,YouTrend,825,35.0,55.0,10.0,20.0,,,,,,,,,,
2026,9– 11 Jun,Termometro Politico,"2,100",37.9,61.4,0.7,23.5,,,,,,,,,,
2026,8– 9 Jun,EMG,"1,000",36.0,64.0,— N/a,28.0,,,,,,,,,,
2026,2– 4 Jun,Termometro Politico,"2,200",38.1,61.2,0.7,23.1,,,,,,,,,,
2026,20 May – 2 Jun,EMG,"1,000",37.0,63.0,— N/a,26.0,,,,,,,,,,
2026,27– 28 May,Termometro Politico,"2,400",39.2,60.4,0.4,21.2,,,,,,,,,,
2026,25– 28 May,Ipsos,"1,000",40.0,60.0,— N/a,20.0,,,,,,,,,,
2026,26– 27 May,YouTrend,815,36.0,57.0,7.0,21.0,,,,,,,,,,
2026,19– 21 May,Termometro Politico,"2,400",38.9,52.2,— N/a,13.3,,,,,,,,,,
2026,06– 19 May,EMG,"1,000",36.0,64.0,— N/a,28.0,,,,,,,,,,
2026,11– 12 May,EMG,"1,000",36.0,64.0,— N/a,28.0,,,,,,,,,,
2026,06– 8 May,Termometro Politico,"2,300",37.1,62.5,— N/a,25.4,,,,,,,,,,
2026,04– 5 May,Demos&Pi,999,43.0,57.0,— N/a,14.0,,,,,,,,,,
2026,23 Apr – 5 May,EMG,"1,000",37.0,63.0,— N/a,26.0,,,,,,,,,,
2026,27– 29 Apr,Ipsos,"1,000",36.0,52.0,12.0,16.0,,,,,,,,,,
2026,27– 28 Apr,YouTrend,813,33.0,59.0,8.0,26.0,,,,,,,,,,
2026,21– 23 Apr,Termometro Politico,"2,500",36.5,63.3,0.2,26.8,,,,,,,,,,
2026,14– 16 Apr,Termometro Politico,"2,700",38.1,61.3,0.6,23.2,,,,,,,,,,
2026,13– 14 Apr,BiDiMedia,"1,000",35.0,63.0,2.0,28.0,,,,,,,,,,
2026,11– 13 Apr,YouTrend,815,34.0,57.0,9.0,23.0,,,,,,,,,,
2026,7– 9 Apr,Termometro Politico,"2,500",39.1,60.6,0.3,21.5,,,,,,,,,,
2026,26 Mar – 8 Apr,EMG,"1,000",38.0,62.0,— N/a,24.0,,,,,,,,,,
2026,31 Mar – 2 Apr,Termometro Politico,"2,700",38.7,60.8,0.5,22.1,,,,,,,,,,
2026,24– 26 Mar,Termometro Politico,"3,000",38.7,61.1,0.2,22.4,,,,,,,,,,
2026,12– 25 Mar,EMG,"1,000",39.0,61.0,— N/a,22.0,,,,,,,,,,
2026,3– 6 Mar,Termometro Politico,"2,700",38.4,61.1,0.5,22.7,,,,,,,,,,
2026,3– 4 Mar,YouTrend,817,32.0,57.0,11.0,25.0,,,,,,,,,,
2026,24– 26 Feb,Termometro Politico,"2,800",38.9,60.5,0.6,21.6,,,,,,,,,,
2026,24– 25 Feb,YouTrend,809,34.0,57.0,9.0,23.0,,,,,,,,,,
2026,17– 19 Feb,Termometro Politico,"2,900",40.0,59.4,0.6,19.4,,,,,,,,,,
2026,17– 18 Feb,YouTrend,813,32.0,56.0,12.0,24.0,,,,,,,,,,
2026,11– 14 Feb,BiDiMedia,"2,000",37.0,58.0,5.0,21.0,,,,,,,,,,
2026,10– 12 Feb,Termometro Politico,"2,500",37.9,61.4,0.7,23.5,,,,,,,,,,
2026,9– 10 Feb,EMG,"1,000",38.0,62.0,— N/a,24.0,,,,,,,,,,
2026,6– 9 Feb,YouTrend,815,32.0,59.0,9.0,27.0,,,,,,,,,,
2026,3– 5 Feb,Termometro Politico,"2,900",39.2,60.4,0.4,21.2,,,,,,,,,,
2026,27– 29 Jan,Termometro Politico,"2,700",39.2,60.3,0.5,21.1,,,,,,,,,,
2026,26– 27 Jan,EMG,"1,000",39.0,61.0,— N/a,22.0,,,,,,,,,,
2026,20– 22 Jan,Termometro Politico,"2,600",38.0,61.6,0.4,23.6,,,,,,,,,,
2026,19– 20 Jan,YouTrend,804,33.0,62.0,5.0,29.0,,,,,,,,,,
2026,13– 15 Jan,Termometro Politico,"2,800",39.5,59.8,0.7,20.3,,,,,,,,,,
2026,31 Dec – 7 Jan,EMG,"1,000",40.0,60.0,— N/a,20.0,,,,,,,,,,
2025,18– 19 Dec,YouTrend,"1,201",30.0,64.0,6.0,34.0,,,,,,,,,,
2025,16– 18 Dec,Termometro Politico,"2,600",40.1,59.4,0.5,19.3,,,,,,,,,,
2025,15– 18 Dec,Ipsos,"1,000",36.0,50.0,14.0,14.0,,,,,,,,,,
2025,9– 11 Dec,Termometro Politico,"2,700",38.5,61.0,0.5,22.5,,,,,,,,,,
2025,4– 5 Dec,YouTrend,805,29.0,62.0,9.0,33.0,,,,,,,,,,
2025,26– 27 Nov,Termometro Politico,"2,200",40.1,59.5,0.4,19.4,,,,,,,,,,
2025,24– 27 Nov,Ipsos,"1,000",37.0,52.0,11.0,15.0,,,,,,,,,,
2025,19– 20 Nov,Termometro Politico,"2,600",39.8,59.8,0.4,20.0,,,,,,,,,,
