Year,Fieldwork date,Polling firm,Sample size,FdI,PD,M5S,Lega,FI,A,IV,AVS,+E,PTD,NM,ScN [ ay ],Others,Lead
2024,17– 18 Oct,Tecnè,"1,000",29.6,23.4,10.4,8.1,11.2,2.9,2.1,6.5,1.7,,,,4.1,6.2
2024,16– 17 Oct,Termometro Politico,"3,000",29.4,22.9,10.3,8.7,8.6,3.0,2.2,6.8,1.6,1.5,1.0,0.6,3.4,6.5
2024,15– 16 Oct,Eumetra,800,29.6,22.8,11.3,8.6,9.1,2.7,2.2,6.6,1.8,,1.1,,4.2,6.8
2024,14 Oct,Euromedia,"1,000",30.0,23.2,11.6,8.8,9.0,3.0,2.4,5.2,1.7,0.5,0.5,0.4,3.7,6.8
2024,10– 11 Oct,Tecnè,"1,000",29.5,23.6,10.2,8.1,11.2,2.8,2.0,6.6,1.8,,,,4.2,5.9
2024,9– 14 Oct,SWG,"1,200",29.3,22.3,11.7,8.6,9.0,2.7,2.3,6.8,1.8,1.1,1.1,1.3,2.0,7.0
2024,9– 10 Oct,Termometro Politico,"2,800",29.1,23.1,10.2,8.3,9.0,2.9,2.1,6.7,1.6,1.6,1.2,0.6,3.5,6.0
2024,8– 9 Oct,EMG,"1,523",29.3,22.2,12.0,8.2,8.5,2.8,2.5,7.1,2.1,,1.2,,4.1,7.1
2024,8– 9 Oct,Eumetra,800,29.5,23.1,11.0,8.6,8.9,2.9,2.1,6.5,1.8,,1.0,,4.6,6.4
2024,2– 7 Oct,SWG,"1,200",29.5,22.7,11.4,8.5,8.7,2.8,2.2,6.9,1.9,1.1,1.1,1.2,2.0,6.8
2024,3– 4 Oct,Tecnè,"1,000",29.4,23.7,10.5,8.0,11.1,3.0,2.0,6.5,1.7,,,,4.1,5.7
2024,2– 3 Oct,Termometro Politico,"3,200",29.2,22.8,10.2,8.5,8.8,3.0,2.2,6.7,1.8,1.6,1.0,0.6,3.6,6.4
2024,1– 2 Oct,Eumetra,800,29.9,23.0,11.2,8.7,8.8,3.2,2.4,6.2,1.6,,0.9,,4.3,6.9
2024,26– 27 Sep,Tecnè,"1,000",29.3,23.8,10.7,8.2,11.0,2.9,1.9,6.6,1.6,,,,4.0,5.5
2024,25– 30 Sep,SWG,"1,200",29.8,22.4,11.8,8.4,8.3,3.0,2.5,7.1,1.7,,1.0,1.2,2.8,7.4
2024,25– 26 Sep,Termometro Politico,"3,200",29.4,22.9,10.3,8.8,9.6,3.0,2.1,6.8,1.6,1.5,,0.9,3.1,6.4
2024,25 Sep,Euromedia,800,30.3,23.5,10.5,9.2,9.0,3.4,2.4,5.0,1.5,0.8,0.8,0.4,3.7,6.8
2024,24– 25 Sep,Eumetra,800,29.7,22.9,11.7,8.4,9.1,3.0,2.5,6.6,1.6,,1.0,,3.5,6.8
2024,19– 20 Sep,Tecnè,"1,000",29.2,23.6,10.9,8.2,11.0,2.8,2.0,6.5,1.7,,,,4.1,5.6
